state,Average_Rent,Average_Apartment_Size
Alabama,1251,986
Alaska,1470,705
Arizona,1597,844
Arkansas,1036,890
California,2531,851
Colorado,1887,872
Connecticut,1926,893
Delaware,1602,913
Florida,1934,968
Georgia,1611,1016
Hawaii,2512,847
Idaho,1557,912
Illinois,1866,836
Indiana,1234,903
Iowa,1166,892
Kansas,1187,902
Kentucky,1218,930
Louisiana,1197,912
Maine,1851,843
Maryland,1810,902
Massachusetts,2714,888
Michigan,1280,915
Minnesota,1504,885
Mississippi,1258,1020
Missouri,1235,894
Montana,1560,868
Nebraska,1215,934
Nevada,1499,899
New Hampshire,1975,877
New Jersey,2236,858
New Mexico,1342,826
New York,2639,841
North Carolina,1526,959
North Dakota,1046,961
Ohio,1219,895
Oklahoma,989,856
Oregon,1711,851
Pennsylvania,1660,886
Rhode Island,1992,921
South Carolina,1555,995
South Dakota,1105,901
Tennessee,1470,947
Texas,1451,880
Utah,1611,915
Vermont,1936,813
Virginia,1875,916
Washington,1983,834
West Virginia,1246,988
Wisconsin,1462,904
Wyoming,1119,877
