state,income_2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,avg_percent_change_10yrs
United States,69717,65712,63179,60336,57617,55775,53657,52250,51371,50502,50046,3.07
Maryland,90203,86738,83242,80776,78945,75847,73971,72483,71122,70004,68854,2.49
Massachusetts,89645,85843,79835,77385,75297,70628,69160,66768,65339,62859,62072,3.41
New Jersey,89296,85751,81740,80088,76126,72222,71919,70165,69667,67458,67681,2.57
New Hampshire,88465,77933,74991,73381,70936,70303,66532,64230,63280,62647,61042,3.45
California,84907,80440,75277,71805,67739,64500,61933,60190,58328,57287,57708,3.59
Hawaii,84857,83102,80212,77765,74511,73486,69592,68020,66259,61821,63030,2.77
Washington,84247,78687,74073,70979,67106,64129,61366,58405,57573,56835,55631,3.86
Connecticut,83771,78833,76348,74168,73433,71346,70048,67098,67276,65753,64032,2.48
Colorado,82254,77127,71953,69117,65685,63909,61303,58823,56765,55387,54046,3.90
Virginia,80963,76456,72577,71535,68114,66262,64902,62666,61741,61882,60674,2.67
Utah,79449,75780,71414,65358,65977,62912,60922,59770,57049,55869,54744,3.48
Alaska,77845,75463,74346,73181,76440,73355,71583,72237,67712,67825,64576,1.75
Minnesota,77720,74593,70315,68388,65599,63488,61481,60702,58906,56954,55459,3.12
New York,74314,72108,67844,64894,62909,60850,58878,57369,56448,55246,54148,2.93
Rhode Island,74008,71169,64340,63870,60596,58073,54891,55902,54554,53636,52254,3.26
Vermont,72431,63001,60782,57513,57677,56990,54166,52578,52977,52776,49406,3.58
Illinois,72205,69187,65030,62992,60960,59588,57444,56210,55137,53234,52972,2.87
Oregon,71562,67058,63426,60212,57532,54148,51075,50251,49161,46816,46560,4.00
Delaware,71091,70176,64805,62852,61757,61255,59716,57846,58415,58814,55847,2.25
Arizona,69056,62055,59246,56581,53558,51492,50068,48510,47826,46709,46789,3.62
Pennsylvania,68957,63463,60905,59105,56907,55702,53234,52007,51230,50228,49288,3.11
Wisconsin,67125,64168,60773,59305,56811,55638,52622,51467,51059,50395,49001,2.91
Texas,66963,64034,60629,59206,56565,55653,53035,51704,50740,49392,48615,2.96
Nebraska,66817,63229,59566,59970,56927,54996,52686,51440,50723,50296,48408,2.99
Georgia,66559,61980,58756,56183,53559,51244,49321,47829,47209,46007,46430,3.34
North Dakota,66519,64577,63837,61843,60656,60557,59029,55759,53585,51704,48670,2.90
Idaho,66474,60999,55583,52225,51807,48275,47861,46783,45489,43341,43490,3.97
Nevada,66274,63276,58646,58003,55180,52431,51450,51230,49760,48927,51001,2.45
South Dakota,66143,59533,56274,56521,54467,53017,50979,48947,48362,48321,45904,3.40
Iowa,65600,61691,59955,58570,56247,54736,53712,52229,50957,49427,47961,2.89
Wyoming,65204,65003,61584,60434,59882,60214,57055,58752,54901,56322,53512,1.87
Maine,64767,58924,55602,55277,53079,51494,49462,46974,46709,46033,45815,3.22
Kansas,64124,62087,58218,56422,54935,53906,52504,50972,50241,48964,48257,2.63
Michigan,63498,59584,56697,54909,52491,51084,49847,48273,46859,45981,45413,3.10
Montana,63249,57153,55328,53386,50027,49509,46328,46972,45076,44222,42666,3.67
Florida,63062,59227,55462,52594,50860,49426,47463,46036,45040,44299,44409,3.25
Indiana,62743,57603,55746,54181,52314,50532,49446,47529,46974,46438,44613,3.15
Ohio,62262,58642,56111,54021,52344,51075,49308,48081,46829,45749,45090,2.98
North Carolina,61972,57341,53855,52752,50584,47830,46556,45906,45150,43916,43326,3.32
Missouri,61847,57409,54478,53578,51746,50238,48363,46931,45321,45247,44301,3.09
Tennessee,59695,56071,52375,51340,48547,47275,44361,44297,42764,41693,41461,3.39
South Carolina,59318,56227,52306,50570,49501,47238,45238,44163,43107,42367,42018,3.20
Oklahoma,55826,54449,51924,50051,49176,48568,47529,45690,44312,43225,42072,2.61
Kentucky,55573,52295,50247,48375,46659,45215,42958,43399,41724,41141,40062,3.03
New Mexico,53992,51945,47169,46744,46748,45382,44803,43872,42558,41963,42090,2.32
Alabama,53913,51734,49861,48123,46257,44765,42830,42849,41574,41415,40474,2.65
Arkansas,52528,48952,47062,45869,44334,41995,41262,40511,40112,38758,38307,2.92
Louisiana,52087,51073,47905,46145,45146,45727,44555,44164,42944,41734,42505,1.89
West Virginia,51248,48850,44097,43469,43385,42019,41059,41253,40196,38482,38218,2.74
Mississippi,48716,45792,44717,43529,41754,40593,39680,37963,37095,36919,36851,2.58
