state,auto_insurance_full,auto_insurance_minimum
Alabama,1843,441
Alaska,1946,421
Arizona,1810,587
Arkansas,1907,443
California,2291,636
Colorado,2121,500
Connecticut,1553,620
Delaware,2103,801
Florida,3183,1128
Georgia,2085,639
Hawaii,1275,344
Idaho,1133,267
Illinois,1806,552
Indiana,1295,327
Iowa,1315,223
Kansas,1878,416
Kentucky,2124,678
Louisiana,2909,805
Maine,941,225
Maryland,1971,815
Massachusetts,1262,429
Michigan,2691,1104
Minnesota,1760,585
Mississippi,1771,446
Missouri,1943,490
Montana,1889,310
Nebraska,1624,359
Nevada,2779,973
New Hampshire,1262,319
New Jersey,1754,782
New Mexico,1591,346
New York,3139,1371
North Carolina,1446,432
North Dakota,1302,269
Ohio,1266,338
Oklahoma,1998,406
Oregon,1415,616
Pennsylvania,2040,428
Rhode Island,1886,551
South Carolina,1532,524
South Dakota,1553,276
Tennessee,1429,371
Texas,2019,565
Utah,1510,539
Vermont,1061,238
Virginia,1439,494
Washington,1410,515
West Virginia,1580,421
Wisconsin,1292,358
Wyoming,1582,263
